sample_id	sample_name	alias	development_phase	mechanistic_class	mechanisms_cellular	target_class	gene_symbol_1	gene_symbol_2	gene_symbol_3	gene_symbol_4	gene_symbol_5	moa1	moa2	moa3	moa4	moa5	binary_pharmacology	general_indication	cas	target_subcat	class	primary_mechanism	additional_mechanisms	mechanisms_cellular_apoptosis	mechanisms_cellular_angiogenesis	mechanisms_cellular_signal_transduction
NCGC00346943-01	GSK-923295	NA	Phase I	Cell cycle	Antimitotic Drugs	Cell division factor	CENPE	NA	NA	NA	NA	Centromere Associated Protein E Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1088965-37-0	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00263217-01	NVP-231	NVP- 231	Preclinical	Cell signaling	NA	Kinase	CERK	NA	NA	NA	NA	Ceramide Kinase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	362003-83-6	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00263224-01	D-NMAPPD	B13	Preclinical	Metabolism	Apoptosis Inducers	Fatty acid/lipid metabolism	CERS1	NA	NA	NA	NA	Ceramidase Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	35922-06-6	NA	NA	NA	NA	TRUE	FALSE	FALSE
NCGC00346671-01	Anacetrapib	MK-0859	Discontinued	Metabolism	HDL-Cholesterol Increasing Agents	Fatty acid/lipid metabolism	CETP	NA	NA	NA	NA	Cholesteryl Ester Transfer Protein Inhibitor	NA	NA	NA	NA	Inhibitor	Cardiovascular Disorders	875446-37-0	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346703-01	Torcetrapib	CP-529414	Discontinued	Metabolism	HDL-Cholesterol Increasing Agents	Fatty acid/lipid metabolism	CETP	NA	NA	NA	NA	Cholesteryl Ester Transfer Protein Inhibitor	NA	NA	NA	NA	Inhibitor	Cardiovascular Disorders	262352-17-0	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00168759-04	Ataluren	PTC-124	Approved	Transporter	NA	Ion channel	CFTR	NA	NA	NA	NA	Nonsense Mutation Suppressor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	775304-57-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00242480-01	Ivacaftor	VX-770	Approved	Transporter	NA	Ion channel	CFTR	NA	NA	NA	NA	CFTR Channel Potentiator	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	873054-44-5	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346550-01	Lumacaftor	VX-809	Phase III	Transporter	NA	Ion channel	CFTR	NA	NA	NA	NA	CFTR Channel (DeltaF508 Mutant) Corrector	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	936727-05-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00242481-02	AZD-7762	NA	Discontinued	Cell signaling	Signal Transduction Modulators	Kinase	CHEK1	CHEK2	NA	NA	NA	Checkpoint kinase 1 Inhibitor	Serine/threonine-protein kinase Chk2 Inhibitor	NA	NA	NA	Inhibitor	Oncology	860352-01-8	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263132-02	PF-477736	NA	Discontinued	Cell signaling	Signal Transduction Modulators	Kinase	CHEK1	NA	NA	NA	NA	Checkpoint kinase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	952021-60-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00343768-01	Rabusertib	LY-2603618	Phase II	Cell signaling	Signal Transduction Modulators	Kinase	CHEK1	CYP3A4	CYP2D6	NA	NA	Checkpoint kinase 1 Inhibitor	Cytochrome P450 CYP3A4 Inhibitor	Cytochrome P450 CYP2D6 Inhibitor	NA	NA	Inhibitor	Oncology	911222-45-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346653-01	SCH-900776	MK-8776 (S)-isomer	Phase II	Cell signaling	Signal Transduction Modulators	Kinase	CHEK1	NA	NA	NA	NA	Checkpoint kinase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	891494-64-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346827-01	7-Hydroxystaurosporine	NSC-638850	Phase II	Cell signaling	Apoptosis Inducers|Signal Transduction Modulators|	Kinase	CHEK1	CHEK2	CDK1	PIK3CA	PDPK1	Checkpoint kinase 1 Inhibitor	Serine/threonine-protein kinase Chk2 Inhibitor	Cyclin-Dependent Kinase 1 Inhibitor	Phosphatidylinositol 3-Kinase Inhibitor	3-phosphoinositide dependent protein kinase 1 Inhibitor	Inhibitor	Oncology	112953-11-4	NA	NA	NA	NA	TRUE	FALSE	TRUE
NCGC00163451-03	Go-6976	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	CHEK1	LRRK2	FLT3	PKC	NA	Checkpoint kinase 1 Inhibitor	Leucine-Rich Repeat kinase 2 Inhibitor	Receptor-type tyrosine-protein kinase FLT3 Inhibitor	Protein Kinase C (PKC) Inhibitor	NA	Inhibitor	Oncology	136194-77-9	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346626-01	CHIR-124	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	CHEK1	NA	NA	NA	NA	Checkpoint kinase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	405168-58-3	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00165768-02	BML-277	Chk2 Inhibitor II	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	CHEK2	NA	NA	NA	NA	Checkpoint kinase 2 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	516480-79-8	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346436-01	CCT-241533	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	CHEK2	NA	NA	NA	NA	Checkpoint kinase 2 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1431697-96-9	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00016488-03	Kinetin	NSC-23119	Approved	Cell cycle	NA	Cytoskeletal protein	CHIA	NA	NA	NA	NA	Acidic mammalian chitinase Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	525-79-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00160397-01	Irsogladine	MN-1695	Approved	Cell signaling	NA	GPCR signaling	CHRM1	NA	NA	NA	NA	Muscarinic acetylcholine receptor M1 Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	57381-26-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015482-05	Gallamine	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	CHRM2	NA	NA	NA	NA	Muscarinic acetylcholine receptor M2 Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	65-29-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00167433-02	Rocuronium	Org-9426	Approved	Cell signaling	NA	GPCR signaling	CHRNA1	NA	NA	NA	NA	Neuronal acetylcholine receptor subunit alpha-1 Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	119302-91-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00167467-04	Vecuronium	Org-NC-45	Approved	Cell signaling	NA	GPCR signaling	CHRNA2	NA	NA	NA	NA	Neuronal acetylcholine receptor subunit alpha-2 Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	50700-72-6	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00016463-02	Cytisine	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	CHRNA3	CHRNA1	CHRNA2	CHRNA4	CHRNA3	Nicotinic alpha3beta4 Receptor Agonist	Nicotinic alpha1beta1deltagamma Receptor Ligand	Nicotinic alpha2beta2 Receptor Ligand	Nicotinic alpha4beta2 Receptor Partial Agonist	Nicotinic alpha3beta2 Receptor Ligand	Agonist	Neurological Disorders	485-35-8	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00247735-02	Varenicline	CP-526555-18	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	CHRNA3	CHRNA7	CHRNA4	CHRNA6	NA	Nicotinic alpha3beta4 Receptor Agonist	Neuronal acetylcholine receptor subunit alpha-7 Agonist	Nicotinic alpha4beta2 Receptor Partial Agonist	Nicotinic alpha6beta2 Receptor Partial Agonist	NA	Agonist	Neurological Disorders	375815-87-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00092364-05	PNU-282987	NA	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	CHRNA7	NA	NA	NA	NA	Neuronal acetylcholine receptor subunit alpha-7 Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	123464-89-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00167746-01	PNU-120596	NSC-216666	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	CHRNA7	NA	NA	NA	NA	Neuronal acetylcholine receptor subunit alpha-7 Positive Allosteric Modulator	NA	NA	NA	NA	Modulator	Neurological Disorders	501925-31-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00183105-01	Lubiprostone	NA	Approved	Transporter	NA	Ion channel	CLCN2	NA	NA	NA	NA	Chloride Channel Protein 2 Activator	NA	NA	NA	NA	Activator	Metabolic Disorders	136790-76-6	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00160396-02	Pravadoline	Win-48098	Phase II	Cell signaling	Signal Transduction Modulators	GPCR signaling	CNR1	NA	NA	NA	NA	Cannabinoid Receptor 1 Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	92623-83-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346697-01	GW842166X	842166X	Phase II	Cell signaling	Signal Transduction Modulators	GPCR signaling	CNR2	NA	NA	NA	NA	Cannabinoid Receptor 2 Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	666260-75-9	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015870-16	Quercetin	NA	Approved	Cell homeostasis	Antioxidants|Epigenetic Modifier Modulators|Free Radical Scavengers|Signal Transduction Modulators|Wnt Signaling Inhibitors|	Secratory factor	COMT	NA	GAA	SIRT1	MAOA	Catechol-O-Methyltransferase Inhibitor	Drugs Targeting on Quorum Sensing Signaling	alpha-Glucosidase Inhibitor	NAD-Dependent Protein Deacetylase Sirtuin-1 Activator	Amine oxidase [flavin-containing] A Inhibitor	Inhibitor	Neurological Disorders	117-39-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00181767-01	Tolcapone	NA	Approved	Cell homeostasis	NA	Secratory factor	COMT	TTR	CYP2C9	NA	NA	Catechol-O-Methyltransferase Inhibitor	Transthyretin Inhibitor	Cytochrome P450 family 2 subfamily A member 9 Inhibitor	NA	NA	Inhibitor	Neurological Disorders	134308-13-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00242503-01	Meclinertant	SR-48692	Phase II	Cell homeostasis	Signal Transduction Modulators	Protease	CPA	NTSR1	NA	NA	NA	Carboxypeptidase A Inhibitor	Neurotensin Receptor Type 1 Antagonist	NA	NA	NA	Inhibitor	Neurological Disorders	146362-70-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00018261-05	Perhexiline	NA	Approved	Metabolism	NA	Fatty acid/lipid metabolism	CPT1A	NA	NA	NA	NA	Carnitine O-Palmitoyltransferase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	6621-47-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00165772-02	C75	NA	Preclinical	Metabolism	NA	Fatty acid/lipid metabolism	CPT1A	FASN	NA	NA	NA	Carnitine O-Palmitoyltransferase 1 Activator	Fatty Acid Synthase Inhibitor	NA	NA	NA	Activator	Oncology	218137-86-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015989-16	Thalidomide	NA	Approved	Cell homeostasis	Angiogenesis Inhibitors|Signal Transduction Modulators|	Ubiquitin ligase	CRBN	TNF	NA	NA	NA	Cereblon Inhibitor	Tumor necrosis factor alpha Production Inhbitor	NA	NA	NA	Modulator	Oncology	50-35-1	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00167491-02	Lenalidomide	IMID-5013	Approved	Cell homeostasis	Angiogenesis Inhibitors|Signal Transduction Modulators|	Ubiquitin ligase	CRBN	TNF	NA	NA	NA	Cereblon Inhibitor	Tumor necrosis factor alpha Production Inhbitor	NA	NA	NA	Modulator	Oncology	191732-72-6	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00346551-01	Pomalidomide	CC-4047	Approved	Cell homeostasis	Angiogenesis Inhibitors|Signal Transduction Modulators|	Ubiquitin ligase	CRBN	TNF	NA	NA	NA	Cereblon Inhibitor	Tumor necrosis factor alpha Production Inhbitor	NA	NA	NA	Modulator	Oncology	19171-19-8	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00079434-03	KL001	NA	Preclinical	Cell homeostasis	NA	Circadian factor	CRY1	NA	NA	NA	NA	Cryptochrome Modulator	NA	NA	NA	NA	Modulator	Neurological Disorders	309928-48-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00345853-01	JNJ-28312141	NA	Phase I	Cell signaling	Angiogenesis Inhibitors|Signal Transduction Modulators|	Kinase	CSF1R	NA	NA	NA	NA	Colony Stimulating Factor 1 Receptor Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	885692-52-4	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00263193-01	KI-20227	NA	Preclinical	Cell signaling	Angiogenesis Inhibitors|Signal Transduction Modulators|	Kinase	CSF1R	NA	NA	NA	NA	Colony Stimulating Factor 1 Receptor Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	623142-96-1	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00345829-01	PD-173955	NA	Preclinical	Cell signaling	Antimitotic Drugs|Signal Transduction Modulators|	Kinase	CSK	NA	NA	NA	NA	Tyrosine-protein kinase CSK Inhibitior	NA	NA	NA	NA	Inhibitor	Oncology	260415-63-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00242498-03	D-4476	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	CSNK1E	NA	NA	NA	NA	Casein Kinase 1 epsilon Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	301836-43-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263192-02	Silmitasertib	CX-4945	Phase I/II	Cell signaling	Signal Transduction Modulators	Kinase	CSNK2B	NA	NA	NA	NA	Casein Kinase 2 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1009820-21-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263116-01	ICG-001	NA	Preclinical	Cell signaling	Apoptosis Inducers|Wnt Signaling Inhibitors|	Wnt signaling	CTNNB1	NA	NA	NA	NA	Beta-catenin/TCF interaction Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	780757-88-2	NA	NA	NA	NA	TRUE	FALSE	FALSE
NCGC00346879-01	PNU-74654	NA	Preclinical	Cell signaling	NA	Wnt signaling	CTNNB1	NA	NA	NA	NA	Beta-catenin/TCF interaction Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	113906-27-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00347949-01	KY-02111	NA	Preclinical	Cell signaling	NA	Wnt signaling	CTNNB1	NA	NA	NA	NA	Beta-catenin/TCF interaction Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1118807-13-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00163431-03	CA-074 Me	NA	Preclinical	Cell homeostasis	Antiamyloidogenic Agents	Protease	CTSB	NA	NA	NA	NA	Cathepsin B Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	147859-80-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346637-01	Odanacatib	MK-0822	Discontinued	Cell homeostasis	NA	Protease	CTSK	CTSK	NA	NA	NA	Cathepsin K Inhibitor	Cathepsin K Inhibitor	NA	NA	NA	Inhibitor	Metabolic Disorders	603139-19-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00345807-01	CAA-0225	NA	Preclinical	Cell homeostasis	Autophagy Inhibitors	Protease	CTSL	NA	NA	NA	NA	Cathepsin L Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	244072-26-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00263128-01	PD-0220245	NA	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	CXCR1	NA	NA	NA	NA	Chemokine CXCR1/CXCR2 Receptor (IL-8 Receptor) Antagonist	NA	NA	NA	NA	Antagonist	Oncology	640736-79-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00242491-02	SB-265610	NA	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	CXCR2	CXCR2	NA	NA	NA	Chemokine CXCR2 Receptor (IL-8 beta Receptor) Antagonist	Chemokine CXCR2 (IL-8 beta Receptor) Inverse Agonist	NA	NA	NA	Antagonist	Oncology	211096-49-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00165722-02	Plerixafor	NA	Approved	Cell signaling	HIV Attachment Inhibitors|Signal Transduction Modulators|	GPCR signaling	CXCR4	NA	NA	NA	NA	Chemokine CXCR4 Receptor Antagonist	Chelating Agent	NA	NA	NA	Antagonist	Oncology	110078-46-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00017338-05	Antimycin A	NA	Preclinical	Metabolism	Apoptosis Inducers	Mitochondria modulator	CYC1	NA	NA	NA	NA	Cytochrome C reductase inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1397-94-0	NA	NA	NA	NA	TRUE	FALSE	FALSE
NCGC00015226-11	Mitotane	NSC-38721	Approved	Metabolism	NA	Cholesterol Metabolism	CYP11A1	NA	NA	NA	NA	CYP11A1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	53-19-0	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00263148-02	Abiraterone	CB-7598	Phase I	Metabolism	Signal Transduction Modulators	Steroid metabolism	CYP17A1	NA	NA	NA	NA	Steroid 17-alpha-hydroxylase/17,20 lyase Inhibitor	Androgen Biosynthesis Inhibitor	NA	NA	NA	Inhibitor	Oncology	154229-19-3	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346631-01	Orteronel	TAK-700	Phase II	Metabolism	Signal Transduction Modulators	Steroid metabolism	CYP17A1	NA	NA	NA	NA	Steroid 17-alpha-hydroxylase/17,20 lyase Inhibitor	Androgen Biosynthesis Inhibitor	NA	NA	NA	Inhibitor	Oncology	426219-18-3	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346711-01	Galeterone	NA	Phase II	Metabolism	Signal Transduction Modulators	Steroid metabolism	CYP17A1	CYP3A4	NA	NA	NA	Steroid 17-alpha-hydroxylase/17,20 lyase Inhibitor	Cytochrome P450 family 3 subfamily A member 4 Inhibitor	Selective Androgen Receptor Modulators (SARM)	NA	NA	Inhibitor	Oncology	851983-85-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00016973-03	Letrozole	NA	Approved	Metabolism	NA	Steroid metabolism	CYP19A1	NA	NA	NA	NA	Aromatase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	112809-51-5	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00164380-02	Formestane	NA	Approved	Metabolism	NA	Steroid metabolism	CYP19A1	NA	NA	NA	NA	Aromatase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	566-48-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00164619-04	Anastrozole	NA	Approved	Metabolism	NA	Steroid metabolism	CYP19A1	NA	NA	NA	NA	Aromatase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	120511-73-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00271596-04	Exemestane	NA	Approved	Metabolism	NA	Steroid metabolism	CYP19A1	NA	NA	NA	NA	Aromatase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	107868-30-4	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015110-12	Aminoglutethimide	AG-1	Withdrawn	Metabolism	Signal Transduction Modulators	Steroid metabolism	CYP19A1	CYP19A1	NA	NA	NA	Aromatase Inhibitor	Aromatase Inhibitor	NA	NA	NA	Inhibitor	Oncology	125-84-8	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00091057-06	Silybin	NA	Phase II	Metabolism	Angiogenesis Inhibitors|Antioxidants|Apoptosis Inhibitors|	Cytochromes	CYP1A2	CYP2C9	NA	NA	NA	Cytochrome P450 1A2 Inhibitor	Cytochrome P450 2A9 Inhibitor	NA	NA	NA	Inhibitor	Oncology	22888-70-6	NA	NA	NA	NA	FALSE	TRUE	FALSE
NCGC00164547-06	Zafirlukast	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	CYSLTR1	NA	NA	NA	NA	Cysteinyl leukotriene receptor 1 Antagonist	NA	NA	NA	NA	Antagonist	Metabolic Disorders	107753-78-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00181765-01	Pranlukast hydrate	Ono-1078	Approved	Cell signaling	NA	GPCR signaling	CYSLTR1	CYSLTR2	NFKB1	NA	NA	Cysteinyl leukotriene receptor 1 Antagonist	Cysteinyl leukotriene receptor 2 Antagonist	NF-kappaB (NFKB) Activation Inhibitor	NA	NA	Antagonist	Metabolic Disorders	103177-37-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00168109-01	Secin H3	NA	Preclinical	Cell homeostasis	Signal Transduction Modulators	Secratory factor	CYTH1	NA	NA	NA	NA	Cytohesin Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	853625-60-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346651-01	Nepicastat	NA	Phase II	Cell homeostasis	NA	Oxygenase	DBH	NA	NA	NA	NA	Dopamine beta-hydroxylase Inhibitor	NA	NA	NA	NA	Inhibitor	Neurological Disorders	170151-24-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00163411-05	Triptolide	PG-490	Clinical	Metabolism	Angiogenesis Inhibitors	Nucleotide metabolism	DCTPP1	NA	NA	NA	NA	dCTP Pyrophosphatase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	38748-32-2	NA	NA	NA	NA	FALSE	TRUE	FALSE
NCGC00015185-04	Carbidopa	NA	Approved	Cell homeostasis	NA	Decarboxylase	DDC	NA	NA	NA	NA	Aromatic-L-amino-acid decarboxylase Inhibitor	NA	NA	NA	NA	Inhibitor	Neurological Disorders	28860-95-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00024667-13	Methyldopa	MK-531	Approved	Cell homeostasis	NA	Decarboxylase	DDC	NA	NA	NA	NA	Aromatic-L-amino-acid decarboxylase Inhibitor	NA	NA	NA	NA	Inhibitor	Neurological Disorders	555-30-6	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015163-08	Benserazide	Ro-4-4602	Not determined	Cell homeostasis	NA	Decarboxylase	DDC	NA	NA	NA	NA	Aromatic-L-amino-acid decarboxylase Inhibitor	NA	NA	NA	NA	Inhibitor	Neurological Disorders	14919-77-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00347217-01	PRP003-013	NA	Preclinical	Cell signaling	NA	Kinase	DDR1	NA	NA	NA	NA	Discoidin Domain-Containing Receptor 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1429617-90-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346522-01	A-922500	NA	Preclinical	Metabolism	NA	Fatty acid/lipid metabolism	DGAT1	NA	NA	NA	NA	Diacylglycerol Acyltransferase Type 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	959122-11-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00016256-16	Pyrimethamine	NA	Approved	Metabolism	Signal Transduction Modulators	Nucleotide metabolism	DHFR	DHFR	STAT3	NA	NA	Dihydrofolate Reductase Inhibitor	Protozoal Dihydrofolate Reductase Inhibitor	Signal transducer and activator of transcription 3 Inhibitor	NA	NA	Inhibitor	Oncology	58-14-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00025060-16	Methotrexate	NA	Approved	Metabolism	NA	Nucleotide metabolism	DHFR	NA	DHFR	NA	NA	Dihydrofolate Reductase Inhibitor	Folate Antagonist	Dihydrofolate Reductase Inhibitor	NA	NA	Inhibitor	Oncology	59-05-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00242596-01	Pralatrexate	NA	Approved	Metabolism	NA	Nucleotide metabolism	DHFR	DHFR	NA	NA	NA	Dihydrofolate Reductase Inhibitor	Dihydrofolate Reductase Inhibitor	NA	NA	NA	Inhibitor	Oncology	146464-95-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00161419-03	Trimetrexate	CI-898	Phase II	Metabolism	NA	Nucleotide metabolism	DHFR	NA	NA	NA	NA	Dihydrofolate Reductase Inhibitor	Fungal Dihydrofolate Reductase Inhibitor	Protozoal Dihydrofolate Reductase Inhibitor	NA	NA	Inhibitor	Oncology	1658520-97-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015038-08	Aminopterin	NSC-739	Phase II/III	Metabolism	NA	Nucleotide metabolism	DHFR	DHFR	NA	NA	NA	Dihydrofolate Reductase Inhibitor	Dihydrofolate Reductase Inhibitor	NA	NA	NA	Inhibitor	Oncology	54-62-6	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015610-18	Leflunomide	NA	Approved	Metabolism	Angiogenesis Inhibitors|Signal Transduction Modulators|	Mitochondria modulator	DHODH	STAT6	JAK3	NA	NA	Dihydroorotate Dehydrogenase Inhibitor	Signal Transducer and Activator of Transcription 6 Inhibitor	Tyrosine-protein kinase JAK3 Inhibitor	PDGFR Family Inhibitor	NA	Inhibitor	Oncology	75706-12-6	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00188943-04	Orotic acid	Vitamin B13	Approved	Metabolism	Apoptosis Inducers	Mitochondria modulator	DHODH	NA	NA	NA	NA	Dihydroorotate dehydrogenase metabolite	NA	NA	NA	NA	Inhibitor	Oncology	65-86-1	NA	NA	NA	NA	TRUE	FALSE	FALSE
NCGC00263218-02	Teriflunomide	A-771726	Approved	Metabolism	NA	Mitochondria modulator	DHODH	MMP9	MMP9	MMP2	NA	Dihydroorotate Dehydrogenase Inhibitor	Matrix metalloproteinase-9 Expression Inhibitor	Matrix metalloproteinase-9 Inhibitor	71 kDA type IV collagenase Inhibitor	NA	Inhibitor	Oncology	163451-81-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00345056-01	Vidofludimus	SC-12267	Phase II	Metabolism	Signal Transduction Modulators	Mitochondria modulator	DHODH	IL17A	NA	NA	NA	Dihydroorotate Dehydrogenase Inhibitor	Interleukin-17 Production Inhibitor	NA	NA	NA	Inhibitor	Oncology	717824-30-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00090851-09	5-Azacitidine	NSC-102816	Approved	Transcription regulation	Apoptosis Inducers	Epigenetic factor	DNMT1	NA	NA	NA	NA	DNA Methyltransferase (DNMT) Inhibitor	Antimetabolite	NA	NA	NA	Inhibitor	Oncology	320-67-2	NA	NA	NA	NA	TRUE	FALSE	FALSE
